"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Voynich A Minimal","voy.a.min","Voynich","Voynich",11415,3433,54371,39,5.28540221886225,3.90003987709097,6.40349606600871,2.50345618891774,8.68792770360784,2.28443163759913,10.5491561447755,9.24866144095519,11.7344886071956,2.48582716624042,11.8727388148997,0.138250207704102,0.626111052907281,0.551296184738956,0.470052414605418,"daM","Sol","Sor","s","dy",0.0447656592203241,0.0245291283399036,0.110468681559352,0.156898817345598,0.251248357424442,0.340166447656592,0.444240035041612,-0.77993203732269,0.00140167251493468,-0.856979638112115,0.00823825235284863
"Voynich A Minimal Text","voy.a.min.text","Voynich","Voynich",11081,3258,52455,39,5.28540221886225,3.89794702252265,6.38251758954696,2.48457056702431,8.6489634858194,2.26644589627244,10.3356029338235,9.05328789793072,11.5391876466998,2.48589974876908,11.6785242964464,0.139336649746631,0.628935050993022,0.560375514403292,0.464581406105458,"daM","Sol","Sor","s","dy",0.0458442378846674,0.025087988448696,0.112895948019132,0.160454832596336,0.256565291941161,0.346448876455194,0.452125259453118,-0.781742722287019,0.00144039397559071,-0.861147130360816,0.00840206886473875
"Voynich B Maximal","voy.b.com","Voynich","Voynich",23243,4948,142902,32,5,3.8778636132475,5.89374750046246,2.01588388721496,7.63281047411567,1.73906297365321,11.0644213547347,9.48562627385739,12.5258580573082,3.04023178345078,12.7391484455045,0.213290388196277,0.594287540495578,0.510729766803841,0.429981496379726,"chedy","ol","shedy","aiin","daiin",0.0211246396764617,0.0181129802521189,0.0858322935937702,0.144602676074517,0.257152691132814,0.365486382997031,0.472959600740008,-0.598054839158289,0.00243189926687351,-0.525787176565303,0.0172226163818093
"Voynich B Maximal Text","voy.b.com.text","Voynich","Voynich",21649,4662,133459,30,4.90689059560852,3.8773478066453,5.88363615095979,2.00628834431449,7.61161066637903,1.72797451541924,10.8254109721368,9.35177563924169,12.2145732705248,2.86279763128307,12.4136711096443,0.199097839119504,0.598434106162294,0.507094901246673,0.426905810684161,"chedy","ol","shedy","aiin","daiin",0.0210171370502102,0.0182918379601829,0.0864243152108642,0.146750427271468,0.258626264492586,0.367407270543674,0.475541595454755,-0.595587001484515,0.00253901096742582,-0.520276802771849,0.0173866691802578
"Voynich B Maximal Simplified","voy.b","Voynich","Voynich",23243,4947,142898,22,4.4594316186373,3.87553931396938,5.89120955673049,2.01567024276112,7.63069371054735,1.73948415381686,11.0642216875752,9.48555960719073,12.5258580573082,3.04029845011745,12.7391484455045,0.213290388196277,0.594244987304089,0.510688100137174,0.42993982971306,"chedy","ol","shedy","aiin","daiin",0.0211246396764617,0.0181129802521189,0.0858322935937702,0.144602676074517,0.257152691132814,0.365486382997031,0.472959600740008,-0.598048539360443,0.00243205492789076,-0.525787176565303,0.0172226163818093
"Voynich B Maximal Simplified Text","voy.b.text","Voynich","Voynich",21649,4662,133456,22,4.4594316186373,3.87514471346335,5.88115080076792,2.00600608730457,7.60952311877941,1.72837231801149,10.8254109721368,9.35177563924169,12.2145732705248,2.86279763128307,12.4136711096443,0.199097839119504,0.598434106162294,0.507094901246673,0.426905810684161,"chedy","ol","shedy","aiin","daiin",0.0210171370502102,0.0182918379601829,0.0864243152108642,0.146750427271468,0.258626264492586,0.367407270543674,0.475541595454755,-0.595587001484515,0.00253901096742582,-0.520276802771849,0.0173866691802578
"Voynich B Minimal","voy.b.min","Voynich","Voynich",23243,4918,117043,40,5.32192809488736,3.9344476958356,6.23950960238757,2.30506190655197,8.31727316951699,2.07776356712942,11.0592188742931,9.48177246431175,12.5254991938793,3.04372672956752,12.7390816987417,0.213582504862407,0.593819455389195,0.510104766803841,0.429164454277286,"Sedy","ol","Zedy","aM","daM",0.0211246396764617,0.0181129802521189,0.0858322935937702,0.144688723486641,0.257238738544938,0.365572430409155,0.473045648152132,-0.597780004835274,0.00243681670037853,-0.525689151644975,0.0172325435774987
"Voynich B Minimal Text","voy.b.min.text","Voynich","Voynich",21649,4636,109133,40,5.32192809488736,3.93474193544651,6.23120942693583,2.29646749148932,8.29788202506105,2.06667259812522,10.8207952133332,9.34845202613209,12.2143065771888,2.86585455105667,12.4136711096443,0.199364532455504,0.59788865161684,0.506388499789887,0.426168862671592,"Sedy","ol","Zedy","aM","daM",0.0210171370502102,0.0182918379601829,0.0864243152108642,0.146842810291468,0.258718647512587,0.367499653563675,0.475633978474756,-0.595323804475232,0.0025439282113505,-0.520174157832968,0.0173992121697094
"Voynich 1 Maximal","voy.1.com","Voynich","Voynich",10879,3261,63457,42,5.39231742277876,3.8505692352462,6.02088486117681,2.17031562593061,7.91194671868123,1.89106185750443,10.2687987960609,9.05439743435226,11.3921972155419,2.33779978118965,11.5231389014269,0.130941685884962,0.621772367474214,0.539827593339539,0.475600587789154,"daiin","chol","chor","s","dy",0.046327787480467,0.0250942182185863,0.113981064436069,0.161595734902105,0.25765235775347,0.34892912951558,0.452063608787572,-0.785369527374484,0.00143987810796642,-0.867573421059093,0.00871310207430096
"Voynich 1 Maximal Text","voy.1.com.text","Voynich","Voynich",10352,3032,60691,33,5.04439411935845,3.83954841135669,5.97062604032213,2.13107762896544,7.82497518167062,1.85434914134849,9.66508862216838,8.54562443420838,10.7313237028683,2.18569926865987,10.8642598788128,0.132936175944508,0.615461038961039,0.540607438016529,0.480530303030303,"daiin","chol","chor","s","dy",0.0482032457496136,0.0261785162287481,0.118044822256569,0.167793663060278,0.266325347758887,0.357805255023184,0.463195517774343,-0.789926292158217,0.00148279331580628,-0.867931080752375,0.00849276354192728
