"langs","codes","fams","subgroups","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Neapolitan","nap","Romance","Italo-Dalmatian","Latin",143266,23372,815987,41,5.35755200461808,4.0891530389579,7.42084324027372,3.33169020131583,10.3100321407298,2.88918890045604,11.4520238859634,9.17842003398371,11.9032879183189,2.72486788433519,12.4178682436491,0.514580325330219,0.511235073747086,0.45689907059315,0.404231459540109,"e","a","o","d","s",0.0832926165314869,0.0461519132243519,0.201750589811958,0.248656345539067,0.330357516786956,0.387502966509849,0.447091424343529,-0.97448594046855,0.000729320008764521,-1.03367154464136,0.0161626625582832
"Norman","nrm","Romance","Gallo-Romance","Latin",102057,15301,566223,41,5.35755200461808,4.24900114192642,7.68193050813989,3.43292936621347,10.5231244455753,2.84119393743541,11.2105571137724,9.14099232796943,11.9973780743989,2.85638574642946,12.5752477548164,0.577869680417546,0.48254377406932,0.423198773633112,0.375778340080972,"d","l","la","dé","et",0.0355487619663521,0.0325602359465789,0.138736196439245,0.217848849172521,0.331383442586006,0.407595755313207,0.477880008230695,-0.694336673301006,0.00147129905595003,-0.643754871513214,0.0230390024563352
"Occitan","oc","Romance","Gallo-Romance","Latin",236727,28236,1457361,38,5.24792751344359,4.15596939424963,7.62051669305579,3.46454729880616,10.5201859778781,2.89966928482227,11.3932477982719,9.13033839320684,12.1131894386144,2.98285104540752,12.8074728197254,0.694283381111004,0.5187549582706,0.44920953110581,0.390471923294765,"de","la","e","d","l",0.0651087539655384,0.0280111689836816,0.160868848927245,0.227646191604675,0.319528401914442,0.389131784714038,0.462693313394754,-0.869437779643277,0.000496797797101764,-0.913940691211787,0.0125352156416184
"Picard","pcd","Romance","Gallo-Romance","Latin",166221,30636,987378,41,5.35755200461808,4.24328330974335,7.79459094873484,3.55130763899149,10.8700961771925,3.07550522845769,11.645307771166,9.90361570229857,12.3790030991835,2.47538739688496,12.8533928901492,0.474389790965711,0.519797181797182,0.467296176877015,0.421184065934066,"d","l","de","in","ch",0.0287629120267596,0.0210623206454058,0.0971959018415242,0.151479054993051,0.244391502878698,0.31175964529151,0.37494059114071,-0.702109857153175,0.00075166176032248,-0.665293339274291,0.0161134786619753
"Piedmontese","pms","Romance","Gallo-Italic","Latin",71197,7706,381855,35,5.12928301694497,4.20524992368457,7.54626153519963,3.34101161151507,10.2129519055943,2.66669037039465,10.3713519395965,8.195348447643,10.7622402238541,2.56689177621115,11.5323515804038,0.770111356549652,0.403859500905186,0.327373730964467,0.265917003156038,"a","l","e","fin","cm",0.0896526539039566,0.0221076730761128,0.166186777532761,0.233549166397461,0.353722769217804,0.488461592482829,0.596766717698779,-0.960674920724983,0.00253896673576955,-1.06026411373317,0.0284061215555679
"Portuguese","pt","Romance","Iberian","Latin",1486578,78037,9201460,39,5.28540221886225,4.16051699388898,7.51859007427847,3.35807308038949,10.3791392263235,2.86054915204502,11.4811146379184,9.36544636767014,12.5891391460625,3.22369277839236,13.1233230039997,0.534183857937157,0.526238735709482,0.460684043719153,0.401967302433307,"de","a","e","o","do",0.0567901583367977,0.0355702828913115,0.169931211143983,0.238993177620011,0.33649293881653,0.386244112317013,0.430418720040254,-0.824249006064264,0.000470271361880919,-0.820954250940483,0.0175182169422148
"Romanian","ro","Romance","Other Romance","Latin",968215,85544,6254820,34,5.08746284125034,4.18810134600945,7.69866985058297,3.51056850457353,10.7568864855506,3.05821663496758,11.6533780940023,9.76353242539779,12.4864208288985,2.72288840350066,12.9711948415056,0.484774012607141,0.569777382910518,0.511772745818033,0.454398537520978,"de","și","în","a","din",0.0452657725815031,0.0278874010421239,0.142613985530073,0.190699379786514,0.267792793955888,0.31675919088219,0.367316143625125,-0.806404601278941,0.000428634576828304,-0.817609074025756,0.0185865083593904
"Romansh","rm","Romance","Other Romance","Latin",396148,33637,2319022,35,5.12928301694497,4.07009699666935,7.42953498205702,3.35943798538766,10.2812112941795,2.85167631212253,11.302748668719,9.12568023819162,12.2370593169138,3.11137907872213,12.9823231146847,0.745263797770951,0.49474605500835,0.427223228266049,0.36816895287247,"da","la","il","l","en",0.0553202338519947,0.0427971364237608,0.17272080131668,0.240932681725012,0.345481991578905,0.406418813170835,0.467431364035663,-0.800533768772126,0.000680234564177371,-0.80114132190894,0.0172139095106541
"Sardinian","sc","Romance","Other Romance","Latin",183292,33421,1056680,35,5.12928301694497,4.03116623053394,7.34746910367427,3.31630287314033,10.255155931117,2.90768682744274,11.6148743835185,9.28373136555766,12.3280670825518,3.04433571699411,13.0267282009776,0.698661118425813,0.505107536112874,0.457540574746873,0.41691317808588,"de","su","sa","in","e",0.0750441917814198,0.0427951028959256,0.213042576871877,0.29549571176047,0.369688802566397,0.413007659908779,0.454722519258887,-0.89233793490872,0.000873880926652279,-0.894831411176442,0.0200108470175613
"Sicilian","scn","Romance","Italo-Dalmatian","Latin",129487,22966,777746,38,5.24792751344359,4.11901889885159,7.45334862424645,3.33432972539486,10.365454888498,2.91210626425157,11.6839620073288,9.75497050207532,12.6049652929233,2.84999479084796,13.0574062770967,0.452440984173378,0.547252978998359,0.489688627389038,0.438304795406342,"di","la","lu","e","l",0.0570790890205194,0.0253152826152432,0.15047842640574,0.209279696031262,0.28771227999722,0.353070192374524,0.415362159907944,-0.851754091966866,0.000629860889823362,-0.894877994817418,0.0150779756753136
